scale_pct,noise_ratio_pct,speakers,utterances,hours,labels_non_o,train_tsv,train_ltr
5,10,17,5987,7.5340,100743,manifest_labels/scale_noise_train/scale_5pct/train.tsv,manifest_labels/scale_noise_train/scale_5pct/ratio_10pct.ltr
5,70,17,5987,7.5340,100743,manifest_labels/scale_noise_train/scale_5pct/train.tsv,manifest_labels/scale_noise_train/scale_5pct/ratio_70pct.ltr
5,90,17,5987,7.5340,100743,manifest_labels/scale_noise_train/scale_5pct/train.tsv,manifest_labels/scale_noise_train/scale_5pct/ratio_90pct.ltr
