setting,scale,ratio,checkpoint_kind,snr,metric1_changed_pred_B_acc,metric2_changed_pred_A_acc,metric3_unchanged_pred_A_acc
scale_3pct_ratio_60pct,3,60,last,50,99.9,0.0,99.9
scale_3pct_ratio_60pct,3,60,last,45,99.5,0.1,99.8
scale_3pct_ratio_60pct,3,60,last,40,97.7,0.4,99.0
scale_3pct_ratio_60pct,3,60,last,30,78.4,4.4,90.0
scale_3pct_ratio_60pct,3,60,last,25,60.6,9.7,78.9
scale_3pct_ratio_60pct,3,60,last,20,42.9,17.1,65.8
scale_3pct_ratio_60pct,3,60,last,15,29.6,25.0,52.9
scale_3pct_ratio_60pct,3,60,last,10,21.8,31.5,44.4
scale_3pct_ratio_60pct,3,60,last,8,20.1,32.4,41.9
scale_3pct_ratio_60pct,3,60,last,6,18.8,33.0,39.0
scale_3pct_ratio_60pct,3,60,last,4,17.6,32.6,36.4
scale_3pct_ratio_60pct,3,60,last,2,17.2,30.5,33.6
scale_3pct_ratio_60pct,3,60,last,0,17.1,27.9,29.8
scale_3pct_ratio_70pct,3,70,best,50,22.7,42.3,66.3
scale_3pct_ratio_70pct,3,70,best,45,22.6,42.4,66.1
scale_3pct_ratio_70pct,3,70,best,40,22.3,42.8,65.8
scale_3pct_ratio_70pct,3,70,best,30,20.9,43.6,64.4
scale_3pct_ratio_70pct,3,70,best,25,20.0,44.0,62.3
scale_3pct_ratio_70pct,3,70,best,20,18.4,44.1,59.1
scale_3pct_ratio_70pct,3,70,best,15,16.7,43.3,53.9
scale_3pct_ratio_70pct,3,70,best,10,15.9,40.3,45.8
scale_3pct_ratio_70pct,3,70,best,8,15.7,38.7,42.0
scale_3pct_ratio_70pct,3,70,best,6,16.3,36.1,38.7
scale_3pct_ratio_70pct,3,70,best,4,16.6,33.3,35.3
scale_3pct_ratio_70pct,3,70,best,2,16.8,30.9,32.1
scale_3pct_ratio_70pct,3,70,best,0,17.0,29.0,29.1
scale_3pct_ratio_70pct,3,70,last,50,99.2,0.1,99.8
scale_3pct_ratio_70pct,3,70,last,45,98.4,0.2,99.2
scale_3pct_ratio_70pct,3,70,last,40,94.7,0.9,96.8
scale_3pct_ratio_70pct,3,70,last,30,70.8,4.9,79.8
scale_3pct_ratio_70pct,3,70,last,25,53.2,9.2,64.0
scale_3pct_ratio_70pct,3,70,last,20,37.7,14.3,49.0
scale_3pct_ratio_70pct,3,70,last,15,27.7,19.2,36.8
scale_3pct_ratio_70pct,3,70,last,10,21.7,22.3,28.5
scale_3pct_ratio_70pct,3,70,last,8,20.2,22.3,26.4
scale_3pct_ratio_70pct,3,70,last,6,19.0,21.8,23.9
scale_3pct_ratio_70pct,3,70,last,4,17.5,21.3,22.2
scale_3pct_ratio_70pct,3,70,last,2,16.5,20.1,20.7
scale_3pct_ratio_70pct,3,70,last,0,14.3,19.7,19.8
scale_3pct_ratio_80pct,3,80,best,50,20.9,23.0,28.1
scale_3pct_ratio_80pct,3,80,best,45,20.8,23.1,28.1
scale_3pct_ratio_80pct,3,80,best,40,20.6,23.1,27.8
scale_3pct_ratio_80pct,3,80,best,30,20.0,22.8,26.7
scale_3pct_ratio_80pct,3,80,best,25,19.7,22.4,25.4
scale_3pct_ratio_80pct,3,80,best,20,19.5,22.2,23.9
scale_3pct_ratio_80pct,3,80,best,15,19.0,22.0,23.1
scale_3pct_ratio_80pct,3,80,best,10,19.0,21.2,22.5
scale_3pct_ratio_80pct,3,80,best,8,18.9,20.7,21.9
scale_3pct_ratio_80pct,3,80,best,6,18.8,20.1,21.2
scale_3pct_ratio_80pct,3,80,best,4,18.8,19.5,20.3
scale_3pct_ratio_80pct,3,80,best,2,19.0,18.7,19.2
scale_3pct_ratio_80pct,3,80,best,0,19.3,18.3,19.0
scale_3pct_ratio_80pct,3,80,last,50,97.8,0.4,98.0
scale_3pct_ratio_80pct,3,80,last,45,95.3,0.9,95.5
scale_3pct_ratio_80pct,3,80,last,40,88.7,2.3,89.5
scale_3pct_ratio_80pct,3,80,last,30,63.3,7.6,64.3
scale_3pct_ratio_80pct,3,80,last,25,49.0,10.5,48.8
scale_3pct_ratio_80pct,3,80,last,20,37.4,13.4,35.5
scale_3pct_ratio_80pct,3,80,last,15,28.7,15.8,26.1
scale_3pct_ratio_80pct,3,80,last,10,23.7,16.9,20.9
scale_3pct_ratio_80pct,3,80,last,8,22.6,16.7,19.2
scale_3pct_ratio_80pct,3,80,last,6,21.7,16.7,18.5
scale_3pct_ratio_80pct,3,80,last,4,20.7,16.1,17.0
scale_3pct_ratio_80pct,3,80,last,2,20.2,15.4,15.7
scale_3pct_ratio_80pct,3,80,last,0,20.4,14.0,14.7
scale_3pct_ratio_90pct,3,90,best,50,23.4,8.5,9.1
scale_3pct_ratio_90pct,3,90,best,45,23.5,8.3,8.7
scale_3pct_ratio_90pct,3,90,best,40,23.6,8.0,8.4
scale_3pct_ratio_90pct,3,90,best,30,23.7,7.1,7.5
scale_3pct_ratio_90pct,3,90,best,25,23.8,6.6,7.1
scale_3pct_ratio_90pct,3,90,best,20,23.9,5.8,6.1
scale_3pct_ratio_90pct,3,90,best,15,23.9,4.9,5.3
scale_3pct_ratio_90pct,3,90,best,10,23.8,4.5,4.6
scale_3pct_ratio_90pct,3,90,best,8,23.8,4.5,4.5
scale_3pct_ratio_90pct,3,90,best,6,23.8,4.6,4.5
scale_3pct_ratio_90pct,3,90,best,4,23.8,4.8,4.7
scale_3pct_ratio_90pct,3,90,best,2,24.0,5.2,5.1
scale_3pct_ratio_90pct,3,90,best,0,24.3,4.7,4.6
scale_3pct_ratio_90pct,3,90,last,50,99.9,0.0,99.8
scale_3pct_ratio_90pct,3,90,last,45,99.4,0.1,99.2
scale_3pct_ratio_90pct,3,90,last,40,97.4,0.2,96.1
scale_3pct_ratio_90pct,3,90,last,30,79.3,2.1,71.2
scale_3pct_ratio_90pct,3,90,last,25,62.2,3.7,46.8
scale_3pct_ratio_90pct,3,90,last,20,44.7,5.4,27.4
scale_3pct_ratio_90pct,3,90,last,15,33.0,6.9,16.3
scale_3pct_ratio_90pct,3,90,last,10,26.6,8.1,12.2
scale_3pct_ratio_90pct,3,90,last,8,24.7,8.6,11.3
scale_3pct_ratio_90pct,3,90,last,6,23.2,8.9,10.9
scale_3pct_ratio_90pct,3,90,last,4,21.6,9.3,10.3
scale_3pct_ratio_90pct,3,90,last,2,20.1,10.0,10.6
scale_3pct_ratio_90pct,3,90,last,0,18.8,11.5,11.9
scale_5pct_ratio_10pct,5,10,best,50,10.7,80.5,95.5
scale_5pct_ratio_10pct,5,10,best,45,10.6,80.8,95.4
scale_5pct_ratio_10pct,5,10,best,40,10.2,81.0,95.3
scale_5pct_ratio_10pct,5,10,best,30,9.2,82.0,94.5
scale_5pct_ratio_10pct,5,10,best,25,8.4,82.2,93.4
scale_5pct_ratio_10pct,5,10,best,20,7.8,81.9,91.1
scale_5pct_ratio_10pct,5,10,best,15,6.7,80.8,87.1
scale_5pct_ratio_10pct,5,10,best,10,6.8,76.5,80.3
scale_5pct_ratio_10pct,5,10,best,8,7.2,73.7,76.6
scale_5pct_ratio_10pct,5,10,best,6,7.4,70.1,72.4
scale_5pct_ratio_10pct,5,10,best,4,8.0,65.8,67.2
scale_5pct_ratio_10pct,5,10,best,2,9.0,59.8,61.3
scale_5pct_ratio_10pct,5,10,best,0,9.9,53.6,54.3
scale_5pct_ratio_10pct,5,10,last,50,100.0,0.0,100.0
scale_5pct_ratio_10pct,5,10,last,45,99.9,0.1,100.0
scale_5pct_ratio_10pct,5,10,last,40,99.0,0.8,99.9
scale_5pct_ratio_10pct,5,10,last,30,83.4,12.6,98.9
scale_5pct_ratio_10pct,5,10,last,25,63.1,28.8,97.0
scale_5pct_ratio_10pct,5,10,last,20,39.0,48.3,93.2
scale_5pct_ratio_10pct,5,10,last,15,21.3,62.3,86.5
scale_5pct_ratio_10pct,5,10,last,10,13.2,65.1,76.6
scale_5pct_ratio_10pct,5,10,last,8,11.6,63.7,71.5
scale_5pct_ratio_10pct,5,10,last,6,10.9,61.0,66.0
scale_5pct_ratio_10pct,5,10,last,4,10.9,56.4,60.1
scale_5pct_ratio_10pct,5,10,last,2,11.1,50.6,53.0
scale_5pct_ratio_10pct,5,10,last,0,10.8,44.3,45.6
scale_5pct_ratio_20pct,5,20,best,50,5.2,86.1,91.5
scale_5pct_ratio_20pct,5,20,best,45,5.1,86.1,91.4
scale_5pct_ratio_20pct,5,20,best,40,5.1,85.9,91.2
scale_5pct_ratio_20pct,5,20,best,30,4.9,85.7,90.4
scale_5pct_ratio_20pct,5,20,best,25,4.8,85.4,89.6
scale_5pct_ratio_20pct,5,20,best,20,4.7,84.6,87.7
scale_5pct_ratio_20pct,5,20,best,15,4.7,82.4,84.5
scale_5pct_ratio_20pct,5,20,best,10,5.6,77.3,78.8
scale_5pct_ratio_20pct,5,20,best,8,6.0,74.6,75.8
scale_5pct_ratio_20pct,5,20,best,6,6.9,70.6,71.9
scale_5pct_ratio_20pct,5,20,best,4,7.8,66.4,67.3
scale_5pct_ratio_20pct,5,20,best,2,8.9,61.0,61.5
scale_5pct_ratio_20pct,5,20,best,0,10.6,54.6,54.5
scale_5pct_ratio_20pct,5,20,last,50,100.0,0.0,100.0
scale_5pct_ratio_20pct,5,20,last,45,99.8,0.1,100.0
scale_5pct_ratio_20pct,5,20,last,40,98.8,0.8,99.9
scale_5pct_ratio_20pct,5,20,last,30,84.4,10.5,98.6
scale_5pct_ratio_20pct,5,20,last,25,65.9,24.4,96.2
scale_5pct_ratio_20pct,5,20,last,20,41.8,43.4,91.8
scale_5pct_ratio_20pct,5,20,last,15,22.8,58.3,84.1
scale_5pct_ratio_20pct,5,20,last,10,13.8,61.7,73.2
scale_5pct_ratio_20pct,5,20,last,8,12.5,59.6,67.7
scale_5pct_ratio_20pct,5,20,last,6,12.0,56.8,62.0
scale_5pct_ratio_20pct,5,20,last,4,12.4,52.9,56.0
scale_5pct_ratio_20pct,5,20,last,2,12.7,47.6,49.7
scale_5pct_ratio_20pct,5,20,last,0,13.4,42.2,43.4
scale_5pct_ratio_30pct,5,30,best,50,21.2,65.2,97.1
scale_5pct_ratio_30pct,5,30,best,45,21.0,65.7,97.0
scale_5pct_ratio_30pct,5,30,best,40,20.5,66.3,96.9
scale_5pct_ratio_30pct,5,30,best,30,18.2,69.2,95.8
scale_5pct_ratio_30pct,5,30,best,25,15.8,71.5,94.4
scale_5pct_ratio_30pct,5,30,best,20,12.7,73.7,91.2
scale_5pct_ratio_30pct,5,30,best,15,9.9,74.4,85.5
scale_5pct_ratio_30pct,5,30,best,10,8.4,71.1,76.9
scale_5pct_ratio_30pct,5,30,best,8,8.7,68.0,72.6
scale_5pct_ratio_30pct,5,30,best,6,9.0,63.6,66.7
scale_5pct_ratio_30pct,5,30,best,4,9.4,57.9,60.3
scale_5pct_ratio_30pct,5,30,best,2,10.4,50.5,52.2
scale_5pct_ratio_30pct,5,30,best,0,11.4,41.5,42.9
scale_5pct_ratio_30pct,5,30,last,50,100.0,0.0,100.0
scale_5pct_ratio_30pct,5,30,last,45,99.8,0.1,100.0
scale_5pct_ratio_30pct,5,30,last,40,98.8,0.7,99.9
scale_5pct_ratio_30pct,5,30,last,30,82.9,10.9,98.0
scale_5pct_ratio_30pct,5,30,last,25,62.4,24.6,94.8
scale_5pct_ratio_30pct,5,30,last,20,38.7,42.1,89.0
scale_5pct_ratio_30pct,5,30,last,15,23.1,54.0,80.4
scale_5pct_ratio_30pct,5,30,last,10,14.9,57.3,69.5
scale_5pct_ratio_30pct,5,30,last,8,14.0,55.5,64.7
scale_5pct_ratio_30pct,5,30,last,6,13.4,53.2,59.5
scale_5pct_ratio_30pct,5,30,last,4,12.6,50.0,54.5
scale_5pct_ratio_30pct,5,30,last,2,12.8,45.6,48.5
scale_5pct_ratio_30pct,5,30,last,0,12.7,40.7,42.6
scale_5pct_ratio_40pct,5,40,best,50,13.1,74.3,94.4
scale_5pct_ratio_40pct,5,40,best,45,12.9,74.5,94.2
scale_5pct_ratio_40pct,5,40,best,40,12.6,74.9,94.1
scale_5pct_ratio_40pct,5,40,best,30,11.5,75.8,92.7
scale_5pct_ratio_40pct,5,40,best,25,10.1,76.5,91.0
scale_5pct_ratio_40pct,5,40,best,20,9.0,76.4,87.5
scale_5pct_ratio_40pct,5,40,best,15,8.2,74.5,82.0
scale_5pct_ratio_40pct,5,40,best,10,8.3,69.2,73.3
scale_5pct_ratio_40pct,5,40,best,8,8.8,65.7,68.9
scale_5pct_ratio_40pct,5,40,best,6,9.4,61.5,63.4
scale_5pct_ratio_40pct,5,40,best,4,10.4,56.1,57.8
scale_5pct_ratio_40pct,5,40,best,2,11.7,50.1,51.2
scale_5pct_ratio_40pct,5,40,best,0,13.3,43.4,44.2
scale_5pct_ratio_40pct,5,40,last,50,100.0,0.0,100.0
scale_5pct_ratio_40pct,5,40,last,45,99.7,0.1,99.9
scale_5pct_ratio_40pct,5,40,last,40,98.4,0.8,99.7
scale_5pct_ratio_40pct,5,40,last,30,82.0,9.1,96.5
scale_5pct_ratio_40pct,5,40,last,25,62.8,20.0,91.5
scale_5pct_ratio_40pct,5,40,last,20,42.2,32.9,83.0
scale_5pct_ratio_40pct,5,40,last,15,26.7,42.7,71.9
scale_5pct_ratio_40pct,5,40,last,10,18.5,45.8,59.1
scale_5pct_ratio_40pct,5,40,last,8,16.8,44.5,54.6
scale_5pct_ratio_40pct,5,40,last,6,16.1,42.8,49.4
scale_5pct_ratio_40pct,5,40,last,4,16.1,40.3,44.5
scale_5pct_ratio_40pct,5,40,last,2,15.9,37.1,39.7
scale_5pct_ratio_40pct,5,40,last,0,16.3,33.5,35.0
scale_5pct_ratio_50pct,5,50,best,50,19.6,64.9,95.1
scale_5pct_ratio_50pct,5,50,best,45,19.4,65.2,95.0
scale_5pct_ratio_50pct,5,50,best,40,18.9,65.8,94.8
scale_5pct_ratio_50pct,5,50,best,30,16.6,68.0,93.1
scale_5pct_ratio_50pct,5,50,best,25,14.6,69.5,90.7
scale_5pct_ratio_50pct,5,50,best,20,12.3,70.4,86.4
scale_5pct_ratio_50pct,5,50,best,15,10.2,69.7,79.6
scale_5pct_ratio_50pct,5,50,best,10,9.7,65.4,69.9
scale_5pct_ratio_50pct,5,50,best,8,10.1,61.8,65.1
scale_5pct_ratio_50pct,5,50,best,6,10.7,56.8,59.1
scale_5pct_ratio_50pct,5,50,best,4,11.6,51.3,53.0
scale_5pct_ratio_50pct,5,50,best,2,12.8,45.0,45.9
scale_5pct_ratio_50pct,5,50,best,0,14.1,39.4,40.0
scale_5pct_ratio_50pct,5,50,last,50,100.0,0.0,100.0
scale_5pct_ratio_50pct,5,50,last,45,99.7,0.1,99.9
scale_5pct_ratio_50pct,5,50,last,40,98.1,0.8,99.6
scale_5pct_ratio_50pct,5,50,last,30,80.4,8.4,95.4
scale_5pct_ratio_50pct,5,50,last,25,61.8,17.4,88.8
scale_5pct_ratio_50pct,5,50,last,20,41.8,28.5,78.3
scale_5pct_ratio_50pct,5,50,last,15,27.4,37.2,65.9
scale_5pct_ratio_50pct,5,50,last,10,19.1,40.6,53.7
scale_5pct_ratio_50pct,5,50,last,8,17.3,39.9,48.9
scale_5pct_ratio_50pct,5,50,last,6,16.4,38.2,44.1
scale_5pct_ratio_50pct,5,50,last,4,15.6,35.4,38.9
scale_5pct_ratio_50pct,5,50,last,2,15.6,31.7,34.1
scale_5pct_ratio_50pct,5,50,last,0,15.2,27.8,29.2
scale_5pct_ratio_60pct,5,60,best,50,25.6,54.7,94.0
scale_5pct_ratio_60pct,5,60,best,45,25.3,55.2,93.9
scale_5pct_ratio_60pct,5,60,best,40,24.7,55.9,93.6
scale_5pct_ratio_60pct,5,60,best,30,21.7,59.0,91.9
scale_5pct_ratio_60pct,5,60,best,25,18.9,61.5,89.5
scale_5pct_ratio_60pct,5,60,best,20,15.8,63.8,85.2
scale_5pct_ratio_60pct,5,60,best,15,12.6,65.1,78.5
scale_5pct_ratio_60pct,5,60,best,10,11.3,62.8,69.8
scale_5pct_ratio_60pct,5,60,best,8,11.1,60.6,65.3
scale_5pct_ratio_60pct,5,60,best,6,11.3,57.5,60.9
scale_5pct_ratio_60pct,5,60,best,4,11.9,53.1,55.4
scale_5pct_ratio_60pct,5,60,best,2,13.1,47.3,49.0
scale_5pct_ratio_60pct,5,60,best,0,14.2,41.5,42.5
scale_5pct_ratio_60pct,5,60,last,50,99.9,0.0,99.9
scale_5pct_ratio_60pct,5,60,last,45,99.4,0.1,99.6
scale_5pct_ratio_60pct,5,60,last,40,96.7,0.4,98.2
scale_5pct_ratio_60pct,5,60,last,30,74.5,3.8,85.7
scale_5pct_ratio_60pct,5,60,last,25,55.9,8.1,72.1
scale_5pct_ratio_60pct,5,60,last,20,39.9,13.6,56.4
scale_5pct_ratio_60pct,5,60,last,15,28.5,18.7,41.2
scale_5pct_ratio_60pct,5,60,last,10,22.9,21.8,31.2
scale_5pct_ratio_60pct,5,60,last,8,21.7,22.2,28.2
scale_5pct_ratio_60pct,5,60,last,6,20.8,22.3,26.3
scale_5pct_ratio_60pct,5,60,last,4,20.7,21.5,23.5
scale_5pct_ratio_60pct,5,60,last,2,19.9,20.3,21.5
scale_5pct_ratio_60pct,5,60,last,0,19.4,18.4,19.1
scale_5pct_ratio_70pct,5,70,best,50,36.7,32.6,84.3
scale_5pct_ratio_70pct,5,70,best,45,36.3,32.9,84.0
scale_5pct_ratio_70pct,5,70,best,40,35.1,33.8,83.2
scale_5pct_ratio_70pct,5,70,best,30,29.2,37.7,78.0
scale_5pct_ratio_70pct,5,70,best,25,25.4,39.9,72.7
scale_5pct_ratio_70pct,5,70,best,20,21.0,41.4,64.5
scale_5pct_ratio_70pct,5,70,best,15,17.9,40.8,52.8
scale_5pct_ratio_70pct,5,70,best,10,16.8,35.8,40.1
scale_5pct_ratio_70pct,5,70,best,8,17.3,32.4,34.7
scale_5pct_ratio_70pct,5,70,best,6,17.9,29.4,30.2
scale_5pct_ratio_70pct,5,70,best,4,18.0,25.0,25.9
scale_5pct_ratio_70pct,5,70,best,2,18.1,20.4,21.2
scale_5pct_ratio_70pct,5,70,best,0,18.0,16.3,16.5
scale_5pct_ratio_70pct,5,70,last,50,97.7,0.3,99.4
scale_5pct_ratio_70pct,5,70,last,45,94.5,0.8,97.9
scale_5pct_ratio_70pct,5,70,last,40,85.7,2.0,92.7
scale_5pct_ratio_70pct,5,70,last,30,55.6,7.8,67.8
scale_5pct_ratio_70pct,5,70,last,25,41.8,11.6,52.8
scale_5pct_ratio_70pct,5,70,last,20,31.0,15.9,39.5
scale_5pct_ratio_70pct,5,70,last,15,24.3,19.2,29.5
scale_5pct_ratio_70pct,5,70,last,10,20.5,21.2,24.3
scale_5pct_ratio_70pct,5,70,last,8,19.9,21.3,22.7
scale_5pct_ratio_70pct,5,70,last,6,18.9,20.8,21.4
scale_5pct_ratio_70pct,5,70,last,4,17.7,19.3,19.6
scale_5pct_ratio_70pct,5,70,last,2,15.3,15.7,16.0
scale_5pct_ratio_70pct,5,70,last,0,10.8,10.2,10.2
scale_5pct_ratio_80pct,5,80,best,50,20.3,30.1,32.6
scale_5pct_ratio_80pct,5,80,best,45,20.3,30.1,32.6
scale_5pct_ratio_80pct,5,80,best,40,20.3,30.1,32.5
scale_5pct_ratio_80pct,5,80,best,30,19.9,30.3,32.4
scale_5pct_ratio_80pct,5,80,best,25,19.5,30.5,32.3
scale_5pct_ratio_80pct,5,80,best,20,18.8,31.0,32.2
scale_5pct_ratio_80pct,5,80,best,15,18.1,31.5,32.5
scale_5pct_ratio_80pct,5,80,best,10,17.0,32.4,32.7
scale_5pct_ratio_80pct,5,80,best,8,16.7,32.6,32.9
scale_5pct_ratio_80pct,5,80,best,6,16.3,33.0,32.7
scale_5pct_ratio_80pct,5,80,best,4,16.0,33.2,32.6
scale_5pct_ratio_80pct,5,80,best,2,15.8,33.4,32.6
scale_5pct_ratio_80pct,5,80,best,0,15.8,33.2,32.5
scale_5pct_ratio_80pct,5,80,last,50,92.0,2.4,89.0
scale_5pct_ratio_80pct,5,80,last,45,88.5,3.7,85.0
scale_5pct_ratio_80pct,5,80,last,40,80.9,6.3,77.3
scale_5pct_ratio_80pct,5,80,last,30,55.5,14.6,53.4
scale_5pct_ratio_80pct,5,80,last,25,42.2,18.5,42.6
scale_5pct_ratio_80pct,5,80,last,20,31.8,21.5,34.9
scale_5pct_ratio_80pct,5,80,last,15,24.5,23.3,29.4
scale_5pct_ratio_80pct,5,80,last,10,20.8,24.3,26.7
scale_5pct_ratio_80pct,5,80,last,8,19.6,24.6,26.1
scale_5pct_ratio_80pct,5,80,last,6,19.0,24.6,25.8
scale_5pct_ratio_80pct,5,80,last,4,18.5,24.7,25.1
scale_5pct_ratio_80pct,5,80,last,2,17.8,24.8,24.6
scale_5pct_ratio_80pct,5,80,last,0,17.6,25.0,25.2
scale_5pct_ratio_90pct,5,90,best,50,21.0,16.2,16.6
scale_5pct_ratio_90pct,5,90,best,45,21.0,16.4,16.9
scale_5pct_ratio_90pct,5,90,best,40,20.9,16.6,17.0
scale_5pct_ratio_90pct,5,90,best,30,20.9,16.3,16.8
scale_5pct_ratio_90pct,5,90,best,25,21.0,15.6,16.1
scale_5pct_ratio_90pct,5,90,best,20,21.2,14.9,15.1
scale_5pct_ratio_90pct,5,90,best,15,21.2,14.5,14.5
scale_5pct_ratio_90pct,5,90,best,10,21.1,14.5,14.8
scale_5pct_ratio_90pct,5,90,best,8,20.9,14.7,14.9
scale_5pct_ratio_90pct,5,90,best,6,20.7,14.8,15.3
scale_5pct_ratio_90pct,5,90,best,4,20.6,15.1,15.4
scale_5pct_ratio_90pct,5,90,best,2,20.6,15.5,16.1
scale_5pct_ratio_90pct,5,90,best,0,20.6,15.8,16.0
scale_5pct_ratio_90pct,5,90,last,50,99.7,0.1,98.9
scale_5pct_ratio_90pct,5,90,last,45,98.8,0.3,97.7
scale_5pct_ratio_90pct,5,90,last,40,95.3,0.9,92.1
scale_5pct_ratio_90pct,5,90,last,30,72.2,3.4,59.2
scale_5pct_ratio_90pct,5,90,last,25,55.9,4.7,38.3
scale_5pct_ratio_90pct,5,90,last,20,41.8,5.3,21.7
scale_5pct_ratio_90pct,5,90,last,15,32.3,5.4,12.8
scale_5pct_ratio_90pct,5,90,last,10,26.8,6.1,9.0
scale_5pct_ratio_90pct,5,90,last,8,25.3,6.7,8.6
scale_5pct_ratio_90pct,5,90,last,6,24.2,7.4,9.1
scale_5pct_ratio_90pct,5,90,last,4,23.3,8.2,9.4
scale_5pct_ratio_90pct,5,90,last,2,22.4,9.0,9.3
scale_5pct_ratio_90pct,5,90,last,0,21.0,9.7,10.4
scale_10pct_ratio_10pct,10,10,best,50,16.2,73.6,97.7
scale_10pct_ratio_10pct,10,10,best,45,16.1,73.8,97.7
scale_10pct_ratio_10pct,10,10,best,40,15.6,74.3,97.6
scale_10pct_ratio_10pct,10,10,best,30,13.9,76.3,96.8
scale_10pct_ratio_10pct,10,10,best,25,11.9,78.3,95.7
scale_10pct_ratio_10pct,10,10,best,20,9.6,79.9,93.2
scale_10pct_ratio_10pct,10,10,best,15,7.6,79.8,88.8
scale_10pct_ratio_10pct,10,10,best,10,7.0,76.4,81.4
scale_10pct_ratio_10pct,10,10,best,8,7.1,73.9,77.6
scale_10pct_ratio_10pct,10,10,best,6,7.8,70.2,73.0
scale_10pct_ratio_10pct,10,10,best,4,8.4,65.7,67.6
scale_10pct_ratio_10pct,10,10,best,2,9.4,59.8,61.3
scale_10pct_ratio_10pct,10,10,best,0,10.8,53.4,54.1
scale_10pct_ratio_10pct,10,10,last,50,99.9,0.1,100.0
scale_10pct_ratio_10pct,10,10,last,45,99.6,0.3,100.0
scale_10pct_ratio_10pct,10,10,last,40,97.6,1.4,99.9
scale_10pct_ratio_10pct,10,10,last,30,75.3,15.5,98.5
scale_10pct_ratio_10pct,10,10,last,25,52.9,32.8,96.3
scale_10pct_ratio_10pct,10,10,last,20,31.6,51.7,92.1
scale_10pct_ratio_10pct,10,10,last,15,17.3,64.2,85.5
scale_10pct_ratio_10pct,10,10,last,10,11.6,66.6,76.1
scale_10pct_ratio_10pct,10,10,last,8,10.4,64.7,71.7
scale_10pct_ratio_10pct,10,10,last,6,10.2,61.7,66.5
scale_10pct_ratio_10pct,10,10,last,4,10.1,57.7,60.6
scale_10pct_ratio_10pct,10,10,last,2,10.5,51.8,53.6
scale_10pct_ratio_10pct,10,10,last,0,10.4,44.5,45.3
scale_10pct_ratio_20pct,10,20,best,50,10.0,81.6,96.1
scale_10pct_ratio_20pct,10,20,best,45,9.8,81.8,96.0
scale_10pct_ratio_20pct,10,20,best,40,9.6,82.0,95.9
scale_10pct_ratio_20pct,10,20,best,30,8.5,82.8,95.1
scale_10pct_ratio_20pct,10,20,best,25,7.6,83.3,93.8
scale_10pct_ratio_20pct,10,20,best,20,6.7,83.1,91.4
scale_10pct_ratio_20pct,10,20,best,15,6.2,81.3,87.0
scale_10pct_ratio_20pct,10,20,best,10,6.5,77.0,80.2
scale_10pct_ratio_20pct,10,20,best,8,7.1,74.1,76.3
scale_10pct_ratio_20pct,10,20,best,6,7.6,70.3,72.1
scale_10pct_ratio_20pct,10,20,best,4,8.6,65.3,67.1
scale_10pct_ratio_20pct,10,20,best,2,9.8,59.7,61.0
scale_10pct_ratio_20pct,10,20,best,0,11.2,52.6,53.5
scale_10pct_ratio_20pct,10,20,last,50,99.7,0.1,100.0
scale_10pct_ratio_20pct,10,20,last,45,98.5,0.4,99.9
scale_10pct_ratio_20pct,10,20,last,40,94.0,1.9,99.5
scale_10pct_ratio_20pct,10,20,last,30,64.6,17.2,96.5
scale_10pct_ratio_20pct,10,20,last,25,44.9,31.6,92.6
scale_10pct_ratio_20pct,10,20,last,20,27.9,46.4,86.1
scale_10pct_ratio_20pct,10,20,last,15,17.1,56.0,77.0
scale_10pct_ratio_20pct,10,20,last,10,12.9,56.8,66.0
scale_10pct_ratio_20pct,10,20,last,8,12.3,54.6,60.8
scale_10pct_ratio_20pct,10,20,last,6,12.2,50.6,55.1
scale_10pct_ratio_20pct,10,20,last,4,12.5,46.1,48.8
scale_10pct_ratio_20pct,10,20,last,2,12.7,40.3,42.0
scale_10pct_ratio_20pct,10,20,last,0,13.0,34.2,35.2
scale_10pct_ratio_30pct,10,30,best,50,8.7,82.1,94.6
scale_10pct_ratio_30pct,10,30,best,45,8.7,82.1,94.5
scale_10pct_ratio_30pct,10,30,best,40,8.5,82.3,94.3
scale_10pct_ratio_30pct,10,30,best,30,7.7,82.6,93.2
scale_10pct_ratio_30pct,10,30,best,25,7.0,82.9,92.0
scale_10pct_ratio_30pct,10,30,best,20,6.4,82.4,89.4
scale_10pct_ratio_30pct,10,30,best,15,6.0,80.3,84.7
scale_10pct_ratio_30pct,10,30,best,10,6.7,74.0,76.5
scale_10pct_ratio_30pct,10,30,best,8,7.3,70.0,72.1
scale_10pct_ratio_30pct,10,30,best,6,8.1,65.4,66.7
scale_10pct_ratio_30pct,10,30,best,4,9.2,60.1,61.1
scale_10pct_ratio_30pct,10,30,best,2,10.2,54.4,55.0
scale_10pct_ratio_30pct,10,30,best,0,11.4,48.8,48.6
scale_10pct_ratio_30pct,10,30,last,50,99.4,0.1,99.9
scale_10pct_ratio_30pct,10,30,last,45,98.0,0.4,99.7
scale_10pct_ratio_30pct,10,30,last,40,92.6,1.4,98.9
scale_10pct_ratio_30pct,10,30,last,30,63.4,10.8,92.4
scale_10pct_ratio_30pct,10,30,last,25,43.9,21.9,85.5
scale_10pct_ratio_30pct,10,30,last,20,28.6,34.8,76.4
scale_10pct_ratio_30pct,10,30,last,15,19.0,44.7,65.8
scale_10pct_ratio_30pct,10,30,last,10,15.2,45.9,54.4
