epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.7,16.0,36.1
2,88.7,4.5,85.0
3,90.9,5.9,86.3
4,90.4,10.0,81.5
5,90.5,15.4,73.5
6,90.1,21.4,63.6
7,88.0,31.8,48.8
8,85.2,53.5,20.3
9,81.4,74.1,5.4
10,82.2,89.0,2.2
11,82.0,96.8,0.7
12,81.8,99.0,0.2
13,82.0,99.8,0.1
