epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.7,16.0,36.0
2,89.0,4.5,85.9
3,89.8,5.7,85.8
4,89.1,8.8,82.0
5,90.0,13.5,75.9
6,88.8,19.6,66.5
7,86.8,30.6,49.0
8,82.2,50.4,22.5
9,76.1,68.8,6.4
10,75.3,84.4,2.7
11,73.4,93.6,0.8
12,73.1,98.1,0.3
13,72.0,99.5,0.1
