epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.6,16.0,36.2
2,83.2,6.5,77.0
3,86.0,6.2,82.8
4,87.9,9.3,80.0
5,87.1,14.5,72.4
6,84.2,22.2,59.2
7,75.3,38.2,30.9
8,64.6,57.2,7.4
9,56.8,75.2,2.4
10,54.7,88.1,1.1
11,53.4,95.4,0.5
12,50.3,98.6,0.1
13,51.2,99.6,0.1
