epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.4,16.2,36.0
2,34.9,19.4,22.5
3,88.8,3.8,86.5
4,89.0,4.6,86.3
5,88.6,6.5,84.1
6,87.1,8.9,80.3
7,85.0,12.2,75.0
8,80.8,17.5,66.2
9,74.8,25.5,54.4
10,69.0,32.4,44.4
11,64.9,39.1,35.8
12,60.1,46.3,27.6
13,56.5,52.6,21.4
14,55.0,57.5,18.3
15,53.0,62.9,14.2
16,51.7,67.6,11.7
17,49.6,72.4,8.9
18,47.7,76.6,6.2
19,48.5,80.1,5.0
20,47.6,83.3,3.6
21,46.0,86.0,2.6
22,46.7,88.2,1.7
23,45.8,89.9,1.5
24,46.9,91.5,1.6
25,46.2,93.0,0.8
26,46.0,94.2,0.5
27,46.0,95.0,0.4
28,46.4,95.5,0.3
29,46.3,95.5,0.3
