epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.6,15.9,36.3
2,30.7,15.9,36.4
3,46.8,16.6,35.2
4,86.2,5.6,82.4
5,88.1,8.1,81.0
6,86.8,13.2,74.1
7,86.2,19.0,66.3
8,82.4,30.2,47.7
9,77.1,45.6,25.7
10,71.6,63.2,10.6
11,68.4,77.4,4.7
12,66.8,88.0,2.7
13,66.7,94.4,1.3
14,69.3,96.3,1.2
15,67.8,97.4,0.6
16,67.4,98.6,0.4
17,67.3,99.3,0.2
18,69.0,99.4,0.2
