epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,41.1,14.1,32.2
2,41.5,14.1,32.1
3,89.4,3.5,87.7
4,91.4,3.9,89.0
5,92.4,5.6,87.9
6,91.4,8.2,84.3
7,91.0,11.0,80.0
8,89.5,14.9,72.9
9,87.4,20.8,62.0
10,82.1,31.3,42.9
11,77.9,43.5,24.6
12,72.3,56.8,9.0
13,69.9,67.9,5.4
14,67.6,78.1,3.1
15,68.4,86.0,2.2
16,65.7,92.2,1.1
17,65.7,95.7,0.7
18,64.8,97.8,0.4
19,64.7,99.0,0.2
20,65.3,99.5,0.1
21,64.8,99.8,0.1
