epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.4,15.6,35.0
2,30.5,15.4,35.3
3,30.6,15.4,35.4
4,30.5,15.4,35.3
5,30.5,15.4,35.3
6,30.6,15.4,35.4
7,31.0,15.2,35.2
8,38.6,14.7,34.0
9,40.6,14.4,33.4
10,41.5,13.9,32.6
11,37.5,16.4,31.7
12,41.9,17.2,31.8
13,74.7,9.6,69.9
14,79.0,12.1,70.9
15,76.9,18.8,64.4
16,72.6,31.2,45.4
17,71.3,41.7,30.9
18,64.0,57.8,12.8
19,56.3,69.2,6.2
20,55.6,81.7,3.9
21,56.4,88.6,2.5
22,54.2,93.5,1.6
23,52.8,95.4,1.0
24,54.9,97.4,0.7
25,55.9,98.4,0.4
26,59.1,96.6,1.5
