epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.6,16.9,34.7
2,30.7,16.9,34.8
3,30.7,16.9,34.8
4,30.7,16.9,34.8
5,30.7,16.9,34.9
6,30.7,16.8,34.9
7,30.7,16.8,34.9
8,30.7,16.8,34.9
9,31.0,16.8,34.8
10,34.3,16.6,34.4
11,46.6,16.8,34.9
12,76.2,7.7,72.9
13,84.0,8.4,80.8
14,83.0,14.1,75.2
15,82.1,22.1,63.5
16,79.8,35.3,48.2
17,78.8,48.4,33.4
18,74.7,66.0,17.6
19,73.5,77.8,10.5
20,72.2,86.4,5.6
21,71.0,93.5,2.8
22,71.2,95.6,2.3
23,70.4,96.9,1.5
24,71.5,96.9,1.6
25,73.3,97.5,1.3
26,73.5,98.1,0.9
