epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,12.4,21.2,14.9
2,12.9,21.1,15.1
3,28.4,21.3,14.8
4,34.4,19.4,22.0
5,46.5,16.0,35.9
6,28.4,21.3,14.8
7,19.9,23.9,4.7
8,37.6,19.3,24.8
9,27.3,23.2,12.3
10,25.6,25.7,11.8
11,31.2,29.4,15.5
12,30.9,34.5,14.6
13,33.7,40.2,15.6
14,32.8,48.2,12.3
15,32.9,55.2,11.1
16,31.8,62.2,8.6
17,32.8,68.0,7.9
18,33.1,73.1,6.8
19,33.0,77.6,5.8
20,32.9,81.8,4.5
21,33.0,85.0,3.9
22,32.5,87.8,3.1
23,32.9,90.3,2.6
24,32.9,92.0,2.1
25,32.9,93.7,1.7
26,33.1,95.1,1.3
27,32.9,96.1,1.0
28,32.6,97.0,0.8
29,32.8,97.7,0.6
30,32.7,98.3,0.5
