epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.7,16.1,36.0
2,30.7,16.1,36.0
3,30.7,16.1,36.0
4,80.2,6.0,76.0
5,87.3,5.8,84.0
6,88.6,9.7,80.5
7,87.0,16.2,72.0
8,87.7,22.6,62.6
9,85.7,35.3,45.7
10,83.9,48.9,29.0
11,82.4,63.0,18.4
12,80.5,77.7,8.3
13,80.5,86.8,4.4
14,81.6,92.3,2.8
15,80.0,95.3,1.5
16,82.2,96.0,1.5
17,83.3,96.8,1.7
18,80.2,97.9,0.8
19,83.9,97.9,1.2
