epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,12.7,21.2,15.2
2,21.6,19.9,17.6
3,34.4,19.4,22.1
4,34.4,19.4,22.3
5,37.7,18.8,24.7
6,46.5,16.1,36.2
7,46.4,16.1,36.2
8,28.2,21.4,14.6
9,28.3,21.4,14.6
10,34.3,19.5,22.0
11,35.0,19.5,22.2
12,34.8,19.5,22.1
13,27.9,21.8,14.2
14,33.0,21.9,19.2
15,23.4,26.3,8.0
16,30.7,30.5,16.1
17,30.0,40.4,12.5
18,32.8,47.5,13.2
19,31.7,60.4,8.0
20,32.6,71.0,5.3
21,34.3,77.6,4.8
22,35.4,82.1,4.5
23,36.2,89.1,2.0
24,36.6,92.9,1.2
25,36.6,95.3,0.7
26,36.7,96.5,0.4
27,37.0,97.2,0.3
28,37.0,97.7,0.3
29,37.0,98.2,0.3
