epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.6,15.8,36.5
2,30.7,15.8,36.6
3,49.4,15.0,40.1
4,87.3,5.7,84.1
5,88.7,8.9,81.3
6,87.8,14.7,73.5
7,88.0,21.3,64.9
8,84.8,33.0,46.9
9,81.5,49.2,26.9
10,78.6,64.8,13.6
11,77.0,79.8,6.9
12,73.2,88.6,3.0
13,75.4,94.2,1.5
14,78.1,96.2,1.4
15,77.4,98.0,0.8
16,77.8,98.4,0.7
17,77.7,98.9,0.4
18,78.5,99.3,0.3
