epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.3,15.9,36.0
2,30.4,15.9,36.1
3,83.4,5.1,79.5
4,92.9,2.5,91.5
5,93.4,3.4,91.2
6,93.2,5.1,89.4
7,92.8,7.4,86.6
8,92.3,9.6,83.1
9,90.7,13.3,77.4
10,89.4,17.9,71.3
11,87.4,23.8,63.7
12,85.0,30.8,54.3
13,81.7,39.2,43.6
14,79.8,47.4,33.9
15,79.5,54.3,28.8
16,77.9,61.7,21.8
17,76.3,68.4,16.9
18,75.5,74.0,13.1
19,74.4,79.2,10.2
20,73.9,83.3,7.6
21,72.9,87.2,5.6
22,72.8,89.9,4.6
23,73.1,91.8,4.0
24,72.8,93.9,2.8
25,73.4,95.8,1.5
26,72.5,96.4,1.7
