epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,28.0,20.7,15.1
2,57.4,14.8,46.3
3,76.6,10.1,69.0
4,72.0,14.3,65.0
5,72.9,23.4,52.1
6,67.1,40.9,29.8
7,54.8,60.4,11.7
8,49.1,77.9,4.7
9,47.4,88.0,2.3
10,42.2,96.1,0.5
11,42.4,99.2,0.1
12,41.9,99.8,0.1
13,42.7,99.9,0.0
14,43.4,100.0,0.0
