epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,9.7,3.7,6.8
2,30.7,16.9,35.2
3,30.7,16.8,35.4
4,30.7,16.8,35.4
5,30.7,16.8,35.4
6,30.7,16.8,35.4
7,30.7,16.8,35.4
8,30.7,16.8,35.4
9,30.7,16.8,35.4
10,30.7,16.8,35.4
11,30.8,16.7,35.3
12,57.6,13.4,49.9
13,85.1,5.6,83.0
14,84.6,10.3,78.3
15,84.5,20.0,66.9
16,83.7,32.3,51.4
17,83.8,42.5,42.3
18,81.2,58.7,23.6
19,81.6,68.2,17.2
20,81.8,74.8,12.4
21,81.7,83.9,9.1
22,82.2,87.1,7.2
23,83.0,90.5,6.0
24,82.7,93.7,3.6
25,81.1,94.7,1.8
26,80.8,92.8,2.8
27,80.6,92.6,3.9
