epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.6,16.3,35.6
2,30.6,16.2,35.7
3,30.6,16.2,35.8
4,30.6,16.2,35.8
5,30.7,16.2,35.8
6,30.6,16.2,35.8
7,30.6,16.1,35.8
8,32.1,15.9,35.4
9,34.6,15.8,35.1
10,38.9,15.5,34.5
11,35.1,18.6,22.9
12,79.0,7.6,75.2
13,80.8,9.9,75.7
14,81.9,14.9,71.0
15,80.4,25.3,57.4
16,76.3,36.7,41.3
17,68.8,51.8,22.7
18,70.3,64.5,15.7
19,65.3,74.6,10.0
20,63.7,85.8,5.0
21,64.9,91.8,3.1
22,63.5,94.3,1.6
23,66.2,96.1,1.6
24,67.7,96.4,1.4
25,66.2,98.3,0.7
26,67.8,97.0,1.4
