epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,22.8,18.2,9.1
2,20.5,20.6,6.1
3,18.4,24.5,2.6
4,17.7,24.7,1.9
5,18.6,24.7,2.5
6,19.3,25.2,3.5
7,18.7,26.8,2.5
8,19.6,28.7,3.6
9,19.6,34.5,2.7
10,19.8,43.9,2.3
11,19.7,53.9,1.7
12,19.5,63.4,1.3
13,19.5,72.1,1.2
14,20.0,78.8,1.4
15,20.7,84.7,1.6
16,20.5,89.3,1.3
17,21.1,93.0,0.8
18,20.9,95.7,0.4
19,20.6,97.6,0.2
20,20.3,98.7,0.1
21,20.5,99.3,0.1
22,20.3,99.6,0.0
