epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.6,15.2,36.4
2,30.7,15.1,36.6
3,30.7,15.1,36.6
4,30.7,15.1,36.6
5,30.7,15.1,36.6
6,30.7,15.1,36.6
7,30.7,15.1,36.6
8,30.7,15.1,36.6
9,30.7,15.1,36.6
10,31.9,14.9,36.3
11,53.8,13.1,48.0
12,81.0,7.0,80.2
13,84.2,10.6,78.4
14,82.2,17.0,70.2
15,84.5,25.5,60.7
16,82.4,39.2,43.7
17,79.8,54.2,25.9
18,80.0,61.4,20.3
19,79.2,71.9,14.4
20,77.9,80.9,9.8
21,76.3,87.6,4.6
22,77.2,90.7,3.8
23,78.5,92.1,3.8
24,77.3,94.9,2.0
25,80.2,97.4,1.1
26,79.0,98.9,0.4
