epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,25.8,17.1,31.6
2,29.7,16.1,35.3
3,46.5,16.0,36.0
4,85.4,5.1,80.8
5,88.6,4.5,84.7
6,85.4,6.2,82.3
7,85.4,8.8,78.1
8,80.6,13.7,68.9
9,70.3,22.2,52.5
10,59.8,31.9,36.9
11,55.2,39.2,28.9
12,49.4,46.7,20.4
13,48.4,52.4,17.3
14,44.9,58.8,12.8
15,43.0,64.2,9.5
16,41.5,69.0,7.3
17,40.9,72.8,6.4
18,38.5,77.0,3.6
19,37.7,80.5,2.9
20,36.9,83.0,2.1
21,36.7,85.4,1.4
22,37.6,87.2,1.6
23,35.9,89.5,0.8
24,36.7,91.0,1.1
25,35.3,92.6,0.6
26,35.0,93.8,0.5
27,35.4,95.1,0.5
28,35.2,96.1,0.4
29,35.0,97.0,0.3
30,34.9,97.7,0.2
