epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.7,15.8,36.6
2,30.7,15.8,36.6
3,30.7,15.8,36.6
4,30.7,15.8,36.6
5,30.7,15.8,36.6
6,80.3,6.0,76.5
7,86.8,6.7,83.4
8,87.4,11.4,77.3
9,87.8,19.9,67.6
10,87.5,28.0,57.5
11,86.6,37.1,44.5
12,85.6,50.7,29.7
13,85.6,63.6,21.2
14,85.2,72.7,14.1
15,84.6,86.5,5.8
16,84.0,91.4,3.7
17,84.9,94.0,2.5
18,85.1,95.3,2.2
19,84.4,95.4,2.5
20,84.1,93.5,3.6
21,85.1,96.9,1.9
22,84.4,98.5,0.6
23,85.0,98.7,0.5
24,85.6,96.9,1.6
25,86.0,99.0,0.6
