setting,scale,ratio,checkpoint_kind,noise_type,snr,eval_subset,ER_exception_retention,EC_exception_correction,RR_rule_retention
scale_100pct_ratio_10pct,100,10,last,pink_gaussian,15,eval20pct,12.074267,76.261458,91.068841
scale_100pct_ratio_10pct,100,10,last,pink_gaussian,2,eval20pct,10.273230,57.624389,58.326067
scale_100pct_ratio_10pct,100,10,last,pink_gaussian,20,eval20pct,24.028465,65.121387,94.740034
scale_100pct_ratio_10pct,100,10,last,pink_gaussian,25,eval20pct,44.686210,46.504817,97.060752
scale_100pct_ratio_10pct,100,10,last,pink_gaussian,30,eval20pct,68.825958,25.516151,98.629203
scale_100pct_ratio_10pct,100,10,last,pink_gaussian,4,eval20pct,8.372624,67.590125,68.542799
scale_100pct_ratio_10pct,100,10,last,pink_gaussian,40,eval20pct,97.039271,2.377954,99.860691
scale_100pct_ratio_10pct,100,10,last,pink_gaussian,45,eval20pct,99.528509,0.374850,99.974433
scale_100pct_ratio_10pct,100,10,last,pink_gaussian,50,eval20pct,99.941430,0.040999,99.993117
scale_100pct_ratio_10pct,100,10,last,pink_gaussian,6,eval20pct,7.207075,73.886432,76.059237
scale_100pct_ratio_10pct,100,10,last,pink_gaussian,8,eval20pct,7.040150,77.412364,81.106143
scale_100pct_ratio_10pct,100,10,last,uniform_white,0,eval20pct,11.913199,46.405248,46.458611
scale_100pct_ratio_10pct,100,10,last,uniform_white,10,eval20pct,6.884939,75.271620,77.489036
scale_100pct_ratio_10pct,100,10,last,uniform_white,15,eval20pct,7.215861,78.914692,84.784875
scale_100pct_ratio_10pct,100,10,last,uniform_white,2,eval20pct,10.434299,54.763230,55.088863
scale_100pct_ratio_10pct,100,10,last,uniform_white,20,eval20pct,10.601224,77.506077,89.921266
scale_100pct_ratio_10pct,100,10,last,uniform_white,25,eval20pct,18.631212,70.263859,93.628842
scale_100pct_ratio_10pct,100,10,last,uniform_white,30,eval20pct,33.622280,56.491053,96.228178
scale_100pct_ratio_10pct,100,10,last,uniform_white,4,eval20pct,9.339034,62.102088,62.469926
scale_100pct_ratio_10pct,100,10,last,uniform_white,40,eval20pct,78.867836,17.301666,99.215938
scale_100pct_ratio_10pct,100,10,last,uniform_white,45,eval20pct,93.249773,5.502680,99.725644
scale_100pct_ratio_10pct,100,10,last,uniform_white,50,eval20pct,98.731953,1.039623,99.938704
scale_100pct_ratio_10pct,100,10,last,uniform_white,6,eval20pct,8.091487,67.692623,68.490026
scale_100pct_ratio_10pct,100,10,last,uniform_white,8,eval20pct,7.204147,72.070753,73.402212
scale_100pct_ratio_70pct,100,70,best,laplace_white,0,eval20pct,12.503057,35.631646,35.807586
scale_100pct_ratio_70pct,100,70,best,laplace_white,10,eval20pct,7.595268,69.856730,71.130121
scale_100pct_ratio_70pct,100,70,best,laplace_white,15,eval20pct,6.606964,75.393593,78.004135
scale_100pct_ratio_70pct,100,70,best,laplace_white,2,eval20pct,11.325440,47.265299,47.428247
scale_100pct_ratio_70pct,100,70,best,laplace_white,20,eval20pct,6.519686,77.961328,82.681208
scale_100pct_ratio_70pct,100,70,best,laplace_white,25,eval20pct,6.828742,79.009925,85.480789
scale_100pct_ratio_70pct,100,70,best,laplace_white,30,eval20pct,7.290428,79.125452,87.783559
scale_100pct_ratio_70pct,100,70,best,laplace_white,4,eval20pct,10.144873,55.689915,56.205231
scale_100pct_ratio_70pct,100,70,best,laplace_white,40,eval20pct,8.279575,78.740081,90.052033
scale_100pct_ratio_70pct,100,70,best,laplace_white,45,eval20pct,8.574717,78.463491,90.511607
scale_100pct_ratio_70pct,100,70,best,laplace_white,50,eval20pct,8.709218,78.315920,90.711507
scale_100pct_ratio_70pct,100,70,best,laplace_white,6,eval20pct,9.112297,61.796824,62.588314
scale_100pct_ratio_70pct,100,70,best,laplace_white,8,eval20pct,8.282948,66.457959,67.375136
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,0,eval20pct,12.420417,32.539401,32.536673
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,10,eval20pct,6.944269,73.622741,76.037471
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,15,eval20pct,6.577449,77.844536,82.750781
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,2,eval20pct,11.408080,46.663631,47.069602
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,20,eval20pct,7.021427,78.905361,86.229434
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,25,eval20pct,7.602435,78.834527,88.178460
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,30,eval20pct,8.126945,78.729540,89.590499
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,4,eval20pct,9.803351,57.435891,57.987673
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,40,eval20pct,8.666211,78.342904,90.631155
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,45,eval20pct,8.778365,78.200815,90.766382
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,50,eval20pct,8.809144,78.206296,90.805578
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,6,eval20pct,8.498402,65.074587,66.103223
scale_100pct_ratio_70pct,100,70,best,pink_gaussian,8,eval20pct,7.539191,70.215116,72.044370
scale_100pct_ratio_70pct,100,70,best,uniform_white,0,eval20pct,12.152260,33.084992,33.286298
scale_100pct_ratio_70pct,100,70,best,uniform_white,10,eval20pct,7.759282,69.286262,70.719542
scale_100pct_ratio_70pct,100,70,best,uniform_white,15,eval20pct,6.721226,75.157058,77.858130
scale_100pct_ratio_70pct,100,70,best,uniform_white,2,eval20pct,11.478493,45.257069,45.437085
scale_100pct_ratio_70pct,100,70,best,uniform_white,20,eval20pct,6.491437,77.886278,82.433293
scale_100pct_ratio_70pct,100,70,best,uniform_white,25,eval20pct,6.815250,78.980833,85.619935
scale_100pct_ratio_70pct,100,70,best,uniform_white,30,eval20pct,7.343554,79.144426,87.751222
scale_100pct_ratio_70pct,100,70,best,uniform_white,4,eval20pct,10.326174,54.168669,54.557035
scale_100pct_ratio_70pct,100,70,best,uniform_white,40,eval20pct,8.288851,78.679788,90.053993
scale_100pct_ratio_70pct,100,70,best,uniform_white,45,eval20pct,8.562490,78.454637,90.478290
scale_100pct_ratio_70pct,100,70,best,uniform_white,50,eval20pct,8.729456,78.291044,90.709547
scale_100pct_ratio_70pct,100,70,best,uniform_white,6,eval20pct,9.341665,60.660949,61.285044
scale_100pct_ratio_70pct,100,70,best,uniform_white,8,eval20pct,8.394681,65.648849,66.507923
scale_100pct_ratio_70pct,100,70,last,laplace_white,0,eval20pct,16.469765,11.472168,11.744128
scale_100pct_ratio_70pct,100,70,last,laplace_white,10,eval20pct,20.458819,19.967197,21.608803
scale_100pct_ratio_70pct,100,70,last,laplace_white,15,eval20pct,21.196674,20.021588,24.252580
scale_100pct_ratio_70pct,100,70,last,laplace_white,2,eval20pct,18.673632,15.297208,15.467756
scale_100pct_ratio_70pct,100,70,last,laplace_white,20,eval20pct,23.074620,18.980580,28.349551
scale_100pct_ratio_70pct,100,70,last,laplace_white,25,eval20pct,26.358285,17.204247,34.439643
scale_100pct_ratio_70pct,100,70,last,laplace_white,30,eval20pct,32.530969,14.360343,43.370472
scale_100pct_ratio_70pct,100,70,last,laplace_white,4,eval20pct,19.518581,17.968243,18.190905
scale_100pct_ratio_70pct,100,70,last,laplace_white,40,eval20pct,59.080675,6.394883,71.186956
scale_100pct_ratio_70pct,100,70,last,laplace_white,45,eval20pct,77.484041,3.018459,85.758101
scale_100pct_ratio_70pct,100,70,last,laplace_white,50,eval20pct,91.667299,1.023299,95.336645
scale_100pct_ratio_70pct,100,70,last,laplace_white,6,eval20pct,19.936418,19.105383,19.790105
scale_100pct_ratio_70pct,100,70,last,laplace_white,8,eval20pct,20.061221,19.866427,20.915033
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,0,eval20pct,16.708408,12.457942,12.406542
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,10,eval20pct,20.858526,20.957188,25.360849
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,15,eval20pct,23.487819,19.299333,30.301516
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,2,eval20pct,18.810241,17.095466,17.152208
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,20,eval20pct,28.411209,16.637574,38.074100
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,25,eval20pct,36.799565,12.888006,48.792271
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,30,eval20pct,50.281228,8.518219,63.210552
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,4,eval20pct,19.579296,19.554420,20.537770
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,40,eval20pct,86.377090,1.732483,91.917767
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,45,eval20pct,95.584255,0.528726,97.849115
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,50,eval20pct,98.613676,0.153052,99.552185
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,6,eval20pct,19.832275,20.769983,22.278077
scale_100pct_ratio_70pct,100,70,last,pink_gaussian,8,eval20pct,20.133741,21.227032,23.800845
scale_100pct_ratio_70pct,100,70,last,uniform_white,0,eval20pct,16.074275,11.023974,11.063096
scale_100pct_ratio_70pct,100,70,last,uniform_white,10,eval20pct,20.283421,20.212587,21.750889
scale_100pct_ratio_70pct,100,70,last,uniform_white,15,eval20pct,21.204264,19.973100,24.074237
scale_100pct_ratio_70pct,100,70,last,uniform_white,2,eval20pct,18.426556,15.013872,15.288434
scale_100pct_ratio_70pct,100,70,last,uniform_white,20,eval20pct,23.018122,18.987747,28.138872
scale_100pct_ratio_70pct,100,70,last,uniform_white,25,eval20pct,26.472969,17.240085,34.206426
scale_100pct_ratio_70pct,100,70,last,uniform_white,30,eval20pct,32.693297,14.317337,43.414567
scale_100pct_ratio_70pct,100,70,last,uniform_white,4,eval20pct,19.290057,17.653706,18.058618
scale_100pct_ratio_70pct,100,70,last,uniform_white,40,eval20pct,59.636385,6.217798,71.592635
scale_100pct_ratio_70pct,100,70,last,uniform_white,45,eval20pct,77.972712,2.930760,86.075590
scale_100pct_ratio_70pct,100,70,last,uniform_white,50,eval20pct,91.845649,0.961320,95.447374
scale_100pct_ratio_70pct,100,70,last,uniform_white,6,eval20pct,19.836913,19.146281,19.763648
scale_100pct_ratio_70pct,100,70,last,uniform_white,8,eval20pct,19.970570,19.906482,20.810183
